ResponseID,E01. Project-based learning develops deeper understanding than examination-oriented learning.,E02. Traditional written examinations accurately measure a student's knowledge.,E03. Class attendance should be compulsory for all courses.,E04. High-quality online learning can effectively complement classroom teaching.,E05. Students should be encouraged to take courses outside their primary discipline.,E06. Every undergraduate student should participate in at least one research project.,"E07. Publishing research before graduation should be encouraged, but not mandatory.",E08. Maintaining academic honesty is more important than obtaining high grades.,E09. Collaborative learning is generally more effective than individual learning.,E10. Universities should prioritize innovation and problem-solving over rote learning.,E11. University curricula should be updated more frequently to match emerging technologies.,E12. Artificial intelligence should be integrated into teaching and personalized learning.,E13. Universities should invest more resources in research than in expanding infrastructure.,E14. Strong collaborations between universities and industry improve student education.,E15. Continuous learning and skill development are essential throughout one's career.
43,2.0,1.0,-2.0,-1.0,1.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,0.0,0.0,1.0
45,2.0,0.0,-1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0
46,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0
48,1.0,0.0,1.0,-1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0
49,1.0,-1.0,-2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
50,2.0,-1.0,-2.0,-1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
52,2.0,0.0,-1.0,-1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
53,1.0,1.0,-2.0,-1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0
54,2.0,0.0,0.0,0.0,1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0
55,2.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,-1.0,2.0,2.0
56,0.0,0.0,-2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0
57,1.0,-1.0,-2.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-1.0,1.0,2.0
58,-1.0,0.0,-1.0,2.0,1.0,1.0,1.0,0.0,-2.0,1.0,1.0,2.0,-2.0,2.0,1.0
59,2.0,1.0,-2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0
61,2.0,-2.0,-2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0
62,-1.0,2.0,-1.0,0.0,1.0,-1.0,2.0,2.0,-2.0,1.0,2.0,1.0,0.0,2.0,2.0
63,2.0,1.0,0.0,-1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
64,2.0,-1.0,-1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0
65,1.0,-1.0,0.0,-1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0
66,2.0,-1.0,-2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
67,1.0,-1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0
69,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0
70,2.0,0.0,-2.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0
72,2.0,-1.0,-1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
74,2.0,-2.0,-1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,-1.0,0.0,2.0,2.0
77,2.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0
79,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,2.0,2.0
80,-1.0,1.0,-2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0
81,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0
82,1.0,0.0,2.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
83,2.0,-1.0,-2.0,-1.0,2.0,-1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
84,-1.0,1.0,-2.0,1.0,1.0,1.0,2.0,2.0,-1.0,2.0,2.0,2.0,0.0,1.0,2.0
85,2.0,-1.0,-2.0,2.0,1.0,0.0,1.0,0.0,-1.0,2.0,-1.0,-1.0,-2.0,2.0,2.0
86,2.0,-2.0,-2.0,2.0,1.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0
87,2.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0
89,2.0,1.0,-2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0
90,2.0,-1.0,-2.0,-1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
91,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,2.0,-1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
93,0.0,-1.0,-2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
94,2.0,-1.0,-1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
95,1.0,-1.0,-2.0,-1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
97,1.0,-1.0,-2.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
99,2.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0
101,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
102,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
103,2.0,0.0,-1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0
104,2.0,-2.0,-2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
105,2.0,0.0,-2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
106,2.0,0.0,-1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
108,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
109,2.0,1.0,-1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0
110,2.0,-2.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
111,1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2.0,-1.0,-2.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0
114,2.0,-1.0,-2.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0
115,1.0,1.0,-1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
116,2.0,2.0,-2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,-1.0,2.0,2.0
117,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,2.0
118,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,-1.0,2.0,2.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,1.0,-2.0,1.0,-2.0,1.0,-1.0,0.0,1.0,1.0,-2.0,2.0,-2.0,1.0,-1.0,1.0
121,2.0,-2.0,-2.0,1.0,-1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0
126,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
